Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,4.79057,5.342184,3.543145,5.26894,0.750744,0.785077,0.769055,0.785077,1.203937,1.435111,1.886015,1.886015,3.396658,2.625315,3.247883,3.309682,3.179217,3.064775,2.522316,3.183795,3.108263,3.456168,2.97322,2.636759,3.536278,3.435569,3.350881,4.202335,0.796521,0.807965,0.814832,0.807965,6.22797,5.80911,6.585031,6.699474,0.791943,0.79881,0.796521,0.828565,6.106661,6.246281,6.548409,6.804761,7.562371,7.56466,7.798123,6.852827
2,5.442893,5.886931,4.213779,5.822843,0.750744,0.789654,0.771344,0.787366,1.393912,1.645686,2.085145,2.087434,3.907073,3.135729,3.723964,3.817807,3.728542,3.636988,3.080797,3.769741,3.65301,3.929961,3.488212,3.172351,4.030671,3.948272,3.85214,4.559396,0.796521,0.807965,0.812543,0.805676,6.225681,5.802243,6.582742,6.676585,0.791943,0.79881,0.796521,0.828565,6.115816,6.253147,6.557565,6.811627,7.569238,7.569238,7.80499,6.859693
3,6.031128,6.330968,4.703593,6.276036,0.759899,0.794232,0.773632,0.791943,1.602197,1.872282,2.300298,2.307164,4.412909,3.627832,4.181735,4.337377,4.229801,4.15198,3.570611,4.3122,4.13138,4.360266,3.941405,3.659876,4.399176,4.305333,4.222934,4.797436,0.794232,0.810254,0.812543,0.807965,6.225681,5.797665,6.582742,6.676585,0.791943,0.796521,0.796521,0.828565,6.120394,6.257725,6.562142,6.811627,7.571527,7.569238,7.811856,6.864271
4,6.468299,6.665141,5.076677,6.623941,0.764477,0.796521,0.77821,0.789654,1.828794,2.110323,2.510872,2.517739,4.854658,4.085603,4.563973,4.806592,4.678416,4.605173,4.000916,4.776837,4.529641,4.687572,4.316777,4.067292,4.653239,4.557107,4.495308,4.962234,0.796521,0.810254,0.812543,0.807965,6.22797,5.795377,6.575875,6.681163,0.789654,0.79881,0.796521,0.828565,6.124971,6.260014,6.562142,6.816205,7.571527,7.566949,7.807279,6.861982
5,6.793317,6.930648,5.387961,6.907759,0.771344,0.79881,0.782788,0.791943,2.073701,2.343786,2.712291,2.737469,5.216297,4.472419,4.895857,5.186542,5.058366,4.975967,4.362554,5.147631,4.854658,4.90959,4.609751,4.380865,4.820325,4.719615,4.673838,5.076677,0.794232,0.807965,0.812543,0.807965,6.230259,5.790799,6.578164,6.688029,0.791943,0.79881,0.796521,0.828565,6.12726,6.260014,6.559854,6.816205,7.569238,7.566949,7.807279,6.861982
6,7.035935,7.164111,5.637446,7.127489,0.775921,0.803388,0.782788,0.794232,2.341497,2.565805,2.91371,2.943465,5.523003,4.792859,5.181964,5.472648,5.344472,5.248341,4.673838,5.461204,5.085832,5.076677,4.824903,4.609751,4.911879,4.820325,4.792859,5.147631,0.796521,0.810254,0.812543,0.807965,6.232547,5.779355,6.573587,6.688029,0.791943,0.79881,0.796521,0.828565,6.12726,6.260014,6.562142,6.811627,7.566949,7.566949,7.80499,6.861982
7,7.196155,7.34493,5.857176,7.28542,0.775921,0.805676,0.782788,0.794232,2.604715,2.79469,3.108263,3.135729,5.76791,5.058366,5.397116,5.694667,5.557336,5.463493,4.946212,5.731289,5.243763,5.177386,4.985122,4.788281,4.964523,4.888991,4.877546,5.18883,0.796521,0.810254,0.812543,0.807965,6.230259,5.772488,6.573587,6.688029,0.789654,0.79881,0.796521,0.830854,6.12726,6.262303,6.564431,6.816205,7.571527,7.566949,7.802701,6.864271
8,7.30602,7.461662,6.070039,7.413596,0.77821,0.805676,0.782788,0.794232,2.835889,3.018997,3.284504,3.318837,5.962463,5.282673,5.559625,5.857176,5.719844,5.653468,5.200275,5.944152,5.367361,5.243763,5.092699,4.932479,4.991989,4.941634,4.937057,5.218585,0.794232,0.807965,0.812543,0.807965,6.225681,5.770199,6.569009,6.68574,0.791943,0.79881,0.796521,0.828565,6.129549,6.262303,6.564431,6.813916,7.569238,7.56466,7.800412,6.861982
9,7.381552,7.562371,6.28748,7.514305,0.782788,0.805676,0.785077,0.796521,3.060197,3.236439,3.465324,3.501946,6.120394,5.486381,5.690089,5.985351,5.845731,5.845731,5.40856,6.106661,5.46807,5.298695,5.165942,5.053788,5.005722,4.980545,4.982834,5.241474,0.794232,0.807965,0.812543,0.807965,6.225681,5.765621,6.56672,6.683452,0.791943,0.79881,0.79881,0.828565,6.129549,6.262303,6.564431,6.816205,7.571527,7.56466,7.800412,6.864271
10,7.466239,7.669947,6.479744,7.603571,0.785077,0.805676,0.785077,0.796521,3.270771,3.45388,3.641566,3.689631,6.250858,5.660334,5.802243,6.104372,5.941863,6.017395,5.593957,6.239414,5.523003,5.346761,5.23003,5.161364,5.026322,5.024033,5.026322,5.264363,0.794232,0.810254,0.812543,0.807965,6.225681,5.76791,6.569009,6.68574,0.791943,0.79881,0.79881,0.828565,6.131838,6.262303,6.56672,6.813916,7.571527,7.569238,7.802701,6.864271
11,7.580682,7.795834,6.672007,7.690547,0.787366,0.810254,0.787366,0.79881,3.485924,3.648432,3.81323,3.881895,6.381323,5.795377,5.918975,6.230259,6.02884,6.157015,5.756466,6.34699,5.559625,5.420005,5.294118,5.248341,5.051499,5.081254,5.06981,5.296407,0.794232,0.810254,0.814832,0.807965,6.22797,5.76791,6.571298,6.68574,0.791943,0.79881,0.79881,0.828565,6.134127,6.264591,6.569009,6.816205,7.569238,7.569238,7.802701,6.864271
12,7.72488,7.928588,6.843671,7.791257,0.789654,0.810254,0.789654,0.79881,3.687343,3.822385,3.994049,4.065003,6.523232,5.905241,6.065461,6.379034,6.124971,6.273747,5.882353,6.436255,5.591669,5.50927,5.367361,5.321584,5.097276,5.143053,5.108721,5.335317,0.796521,0.807965,0.812543,0.807965,6.22797,5.770199,6.569009,6.68574,0.791943,0.79881,0.79881,0.828565,6.136416,6.264591,6.571298,6.816205,7.571527,7.571527,7.802701,6.864271
13,7.891966,8.040742,6.962692,7.898833,0.789654,0.814832,0.791943,0.801099,3.865873,3.984894,4.163424,4.227512,6.635386,5.989929,6.184482,6.532387,6.232547,6.385901,5.978485,6.532387,5.621424,5.593957,5.452049,5.401694,5.163653,5.214008,5.14992,5.376516,0.796521,0.810254,0.814832,0.807965,6.22797,5.770199,6.571298,6.690318,0.791943,0.79881,0.79881,0.828565,6.136416,6.269169,6.573587,6.820783,7.571527,7.573816,7.802701,6.86656
14,8.059052,8.127718,7.038224,8.008698,0.794232,0.817121,0.794232,0.807965,4.030671,4.147402,4.328222,4.373999,6.733806,6.065461,6.294347,6.697185,6.363012,6.488899,6.065461,6.64683,5.653468,5.674067,5.557336,5.484092,5.252918,5.26894,5.20943,5.417716,0.794232,0.810254,0.812543,0.807965,6.22797,5.770199,6.573587,6.690318,0.789654,0.79881,0.79881,0.830854,6.138705,6.273747,6.575875,6.823072,7.571527,7.573816,7.802701,6.864271
15,8.205539,8.184939,7.104601,8.08423,0.796521,0.821698,0.796521,0.807965,4.220645,4.298466,4.488441,4.53193,6.813916,6.145571,6.369879,6.802472,6.532387,6.601053,6.177615,6.749828,5.726711,5.710689,5.678645,5.56878,5.360494,5.326162,5.282673,5.442893,0.796521,0.810254,0.814832,0.807965,6.22797,5.772488,6.573587,6.692607,0.789654,0.801099,0.796521,0.830854,6.140993,6.276036,6.578164,6.823072,7.571527,7.578393,7.798123,6.864271
16,8.297093,8.219272,7.196155,8.111696,0.801099,0.821698,0.79881,0.810254,4.43122,4.45182,4.614328,4.669261,6.850538,6.22797,6.395056,6.834516,6.669718,6.740673,6.374456,6.875715,5.820554,5.712978,5.774777,5.706111,5.456626,5.401694,5.360494,5.44976,0.796521,0.810254,0.812543,0.807965,6.232547,5.779355,6.575875,6.697185,0.791943,0.79881,0.79881,0.830854,6.145571,6.276036,6.582742,6.823072,7.571527,7.578393,7.802701,6.864271
