Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,3.909361,4.225223,1.254292,3.421836,1.389334,1.016251,1.000229,1.041428,2.21561,2.018769,1.819638,1.943236,2.437629,1.892882,1.984436,1.865415,0.704967,2.689403,2.851911,1.913481,4.227512,0.693523,2.742046,3.346304,0.810254,0.844587,0.826276,0.846876,7.070268,7.413596,7.022202,7.008469,0.59968,0.597391,0.597391,0.597391,8.92195,8.976883,9.125658,9.045548,9.727626,9.727626,9.551385,9.624628,9.164569,9.416342,9.365988,9.320211
2,4.481575,4.85008,1.469444,4.005493,1.512932,1.132982,1.110094,1.153582,2.403296,2.238499,2.066835,2.158389,2.742046,2.19501,2.336919,2.167544,0.702678,3.030442,3.21355,2.270542,4.579995,0.691234,3.190661,3.703365,0.810254,0.842298,0.828565,0.849165,7.049668,7.409018,7.00618,7.008469,0.597391,0.59968,0.595102,0.595102,8.889906,8.944839,9.089036,9.011215,9.695583,9.688716,9.52163,9.592584,9.125658,9.368276,9.317922,9.274434
3,4.982834,5.383383,1.705196,4.474708,1.659419,1.270314,1.242847,1.288624,2.643626,2.490272,2.348363,2.403296,3.09453,2.556649,2.751202,2.504005,0.691234,3.421836,3.614099,2.677958,4.964523,0.686656,3.694209,4.097047,0.810254,0.842298,0.826276,0.849165,7.042802,7.409018,6.999313,7.024491,0.597391,0.59968,0.597391,0.597391,8.844129,8.90135,9.043259,8.967727,9.649805,9.645228,9.475853,9.549096,9.066148,9.308766,9.2607,9.217212
4,5.431449,5.838865,2.046235,4.863813,1.819638,1.425956,1.398489,1.441978,2.925154,2.780957,2.652781,2.682536,3.495079,2.948043,3.179217,2.870222,0.691234,3.847562,4.058137,3.121996,5.346761,0.682078,4.250401,4.541085,0.810254,0.842298,0.830854,0.849165,7.038224,7.40444,7.001602,7.040513,0.597391,0.59968,0.597391,0.597391,8.798352,8.850996,8.997482,8.924239,9.606317,9.60174,9.432364,9.507897,9.011215,9.249256,9.196612,9.153124
5,5.790799,6.205081,2.607004,5.191119,1.99588,1.606775,1.565576,1.609064,3.241016,3.087663,2.97322,2.980087,3.904784,3.337148,3.577478,3.252461,0.688945,4.250401,4.525063,3.5935,5.712978,0.682078,4.799725,4.973678,0.812543,0.840009,0.828565,0.849165,7.035935,7.40444,7.003891,7.058824,0.59968,0.601968,0.597391,0.597391,8.747997,8.800641,8.944839,8.876173,9.553674,9.546807,9.377432,9.452964,8.944839,9.176013,9.125658,9.084459
6,6.076905,6.463722,3.41268,5.481804,2.172122,1.803616,1.753262,1.789883,3.556878,3.360037,3.286793,3.252461,4.296178,3.71252,3.936828,3.63241,0.686656,4.621195,4.966812,4.065003,6.072328,0.679789,5.298695,5.342184,0.812543,0.842298,0.828565,0.849165,7.040513,7.402152,7.010758,7.072557,0.597391,0.59968,0.597391,0.597391,8.690776,8.745708,8.887617,8.821241,9.494163,9.487297,9.322499,9.402609,8.878462,9.105058,9.054704,9.015793
7,6.30808,6.674296,4.158846,5.745022,2.35523,2.021057,1.945525,1.984436,3.859007,3.61181,3.5729,3.520256,4.653239,4.085603,4.264134,3.989471,0.686656,4.962234,5.342184,4.497597,6.376745,0.979629,5.717556,5.662623,0.810254,0.842298,0.830854,0.849165,7.040513,7.399863,7.013046,7.081712,0.59968,0.59968,0.597391,0.597391,8.633555,8.686198,8.828107,8.76173,9.434653,9.425498,9.262989,9.34081,8.80293,9.027237,8.976883,8.94255
8,6.470588,6.855116,4.71046,6.003662,2.533761,2.238499,2.144656,2.167544,4.13138,3.861295,3.833829,3.778897,4.971389,4.442664,4.582284,4.341955,0.686656,5.282673,5.660334,4.921035,6.614786,1.425956,6.113527,5.941863,0.812543,0.842298,0.830854,0.849165,7.040513,7.397574,7.015335,7.08629,0.597391,0.59968,0.597391,0.595102,8.574044,8.624399,8.766308,8.699931,9.370565,9.359121,9.198901,9.2813,8.729686,8.947127,8.896773,8.86244
9,6.601053,6.987869,5.147631,6.246281,2.707713,2.453651,2.350652,2.373541,4.378576,4.108492,4.090181,4.023804,5.262074,4.772259,4.882124,4.678416,0.686656,5.591669,5.941863,5.32845,6.836805,2.105745,6.461433,6.189059,0.812543,0.842298,0.830854,0.849165,7.04509,7.397574,7.015335,7.093156,0.59968,0.601968,0.59968,0.597391,8.512245,8.560311,8.697642,8.640421,9.304189,9.292744,9.134813,9.217212,8.651865,8.867018,8.816663,8.786908
10,6.704051,7.074846,5.536736,6.438544,2.8748,2.657359,2.540627,2.57496,4.632639,4.383154,4.357977,4.264134,5.571069,5.076677,5.163653,4.964523,0.684367,5.925841,6.248569,5.658045,7.047379,2.879377,6.745251,6.4477,0.812543,0.842298,0.828565,0.846876,7.040513,7.397574,7.015335,7.095445,0.59968,0.59968,0.597391,0.597391,8.44358,8.491646,8.628977,8.574044,9.237812,9.219501,9.063859,9.143969,8.571756,8.780041,8.729686,8.70222
