Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,0.876631,3.41268,3.172351,0.869764,0.670634,0.691234,0.682078,0.688945,0.714122,0.856031,0.819409,0.702678,0.876631,0.833143,0.803388,0.922408,0.89723,0.881209,0.95903,0.819409,0.700389,0.876631,0.931563,0.6981,0.83772,0.821698,0.835431,0.828565,6.859693,6.756695,6.520943,7.058824,0.814832,0.823987,0.833143,0.840009,6.523232,6.809339,6.990158,6.848249,6.076905,5.905241,5.607691,6.056306,3.380636,3.479057,3.437858,3.533989
2,1.016251,4.067292,3.817807,1.009384,0.666056,0.686656,0.682078,0.684367,0.711833,0.890364,0.853742,0.711833,0.913252,0.872053,0.840009,0.954452,0.93843,0.926986,1.000229,0.856031,0.693523,0.924697,0.965896,0.711833,0.833143,0.823987,0.83772,0.828565,6.852827,6.749828,6.431678,7.047379,0.814832,0.823987,0.835431,0.840009,6.518654,6.809339,6.990158,6.848249,6.072328,5.90753,5.605402,6.044862,3.33257,3.43328,3.378347,3.483635
3,1.235981,4.596017,4.335088,1.226825,0.666056,0.684367,0.677501,0.679789,0.709545,0.926986,0.885786,0.737011,0.954452,0.913252,0.872053,0.993362,0.984207,0.970474,1.041428,0.89723,0.688945,0.972763,1.007095,0.7393,0.835431,0.821698,0.83772,0.830854,6.841382,6.738384,6.385901,7.024491,0.814832,0.823987,0.833143,0.840009,6.516365,6.804761,6.987869,6.843671,6.074617,5.905241,5.603113,6.037995,3.284504,3.382925,3.325704,3.43328
4,1.579309,5.033188,4.763104,1.570153,0.656901,0.677501,0.675212,0.675212,0.709545,0.968185,0.929274,0.780499,0.99794,0.961318,0.913252,1.032273,1.036851,1.016251,1.084916,0.93843,0.682078,1.025406,1.048295,0.789654,0.835431,0.821698,0.83772,0.830854,6.834516,6.736095,6.363012,7.003891,0.814832,0.823987,0.833143,0.83772,6.514076,6.802472,6.98558,6.841382,6.070039,5.905241,5.603113,6.035706,3.231861,3.325704,3.266194,3.376059
5,2.053101,5.415427,5.133898,2.046235,0.65919,0.677501,0.672923,0.672923,0.709545,1.013962,0.970474,0.828565,1.048295,1.016251,0.963607,1.073472,1.096361,1.071183,1.13756,0.991073,0.682078,1.087205,1.094072,0.853742,0.835431,0.821698,0.833143,0.828565,6.82536,6.729229,6.344701,6.999313,0.817121,0.821698,0.833143,0.840009,6.516365,6.800183,6.981003,6.839094,6.072328,5.905241,5.600824,6.033417,3.179217,3.270771,3.211261,3.318837
6,2.620737,5.756466,5.456626,2.588693,0.654612,0.675212,0.672923,0.672923,0.707256,1.062028,1.025406,0.876631,1.100938,1.068894,1.020829,1.114672,1.15816,1.135271,1.187915,1.050584,0.677501,1.160449,1.142138,0.91783,0.830854,0.819409,0.835431,0.826276,6.820783,6.729229,6.333257,6.997024,0.814832,0.823987,0.833143,0.840009,6.516365,6.795605,6.981003,6.834516,6.074617,5.905241,5.600824,6.02884,3.124285,3.21355,3.15404,3.257038
7,3.245594,6.070039,5.751888,3.195239,0.693523,0.672923,0.672923,0.670634,0.704967,1.110094,1.07805,0.924697,1.162737,1.123827,1.080339,1.155871,1.226825,1.19707,1.242847,1.119249,0.679789,1.235981,1.187915,0.991073,0.830854,0.819409,0.835431,0.830854,6.818494,6.729229,6.321813,6.992447,0.814832,0.821698,0.835431,0.840009,6.516365,6.793317,6.983291,6.836805,6.072328,5.902953,5.600824,6.035706,3.07393,3.15404,3.096818,3.199817
8,3.893339,6.392767,6.070039,3.884184,0.723278,0.672923,0.670634,0.668345,0.702678,1.160449,1.135271,0.970474,1.224537,1.174182,1.139849,1.203937,1.290913,1.261158,1.290913,1.181048,0.677501,1.309224,1.233692,1.055161,0.828565,0.817121,0.833143,0.828565,6.809339,6.72694,6.314946,6.992447,0.817121,0.823987,0.833143,0.83772,6.516365,6.791028,6.983291,6.836805,6.072328,5.905241,5.600824,6.033417,3.021286,3.096818,3.039597,3.142596
9,4.442664,6.637675,6.32639,4.447242,0.775921,0.672923,0.668345,0.709545,0.702678,1.208515,1.185626,1.016251,1.279469,1.229114,1.194781,1.254292,1.355001,1.322957,1.341268,1.240558,0.727855,1.382467,1.284047,1.126116,0.830854,0.819409,0.833143,0.830854,6.804761,6.724651,6.310369,6.987869,0.814832,0.823987,0.833143,0.840009,6.516365,6.791028,6.983291,6.836805,6.072328,5.902953,5.598535,6.031128,2.964065,3.041886,2.986954,3.089952
10,4.836347,6.827649,6.548409,4.939345,0.828565,0.672923,0.668345,0.75761,0.700389,1.252003,1.235981,1.062028,1.33669,1.279469,1.249714,1.306935,1.419089,1.382467,1.393912,1.302358,0.801099,1.455711,1.33669,1.201648,0.830854,0.819409,0.835431,0.826276,6.795605,6.722362,6.310369,6.987869,0.817121,0.823987,0.833143,0.840009,6.518654,6.793317,6.983291,6.834516,6.072328,5.902953,5.598535,6.031128,2.91371,2.986954,2.932021,3.032731
11,5.175097,7.010758,6.749828,5.298695,0.87892,0.670634,0.668345,0.823987,0.700389,1.295491,1.288624,1.11696,1.396201,1.329824,1.304646,1.359579,1.487755,1.446555,1.451133,1.361868,0.920119,1.531243,1.391623,1.274891,0.830854,0.819409,0.835431,0.830854,6.791028,6.720073,6.310369,6.98558,0.814832,0.821698,0.833143,0.840009,6.518654,6.78645,6.981003,6.836805,6.06775,5.902953,5.598535,6.033417,2.867933,2.938888,2.883955,2.980087
12,5.463493,7.177844,6.92607,5.557336,0.924697,0.670634,0.668345,0.883497,0.7393,1.343557,1.338979,1.171893,1.458,1.387045,1.359579,1.412222,1.554131,1.508354,1.512932,1.423667,1.034562,1.606775,1.451133,1.338979,0.830854,0.821698,0.835431,0.830854,6.793317,6.715496,6.321813,6.98558,0.817121,0.823987,0.833143,0.840009,6.520943,6.784161,6.983291,6.836805,6.070039,5.905241,5.596246,6.031128,2.819867,2.888533,2.835889,2.932021
13,5.703822,7.315175,7.063401,5.783932,0.975051,0.670634,0.666056,0.943008,0.821698,1.387045,1.389334,1.226825,1.51751,1.439689,1.409934,1.474022,1.622797,1.572442,1.572442,1.485466,1.144427,1.680018,1.510643,1.409934,0.830854,0.819409,0.833143,0.830854,6.793317,6.715496,6.321813,6.983291,0.814832,0.821698,0.833143,0.83772,6.520943,6.78645,6.983291,6.836805,6.070039,5.905241,5.600824,6.031128,2.77409,2.840467,2.792401,2.886244
14,5.955596,7.420462,7.157244,5.999084,1.025406,0.670634,0.668345,1.000229,0.913252,1.4374,1.435111,1.284047,1.579309,1.499199,1.460288,1.538109,1.691463,1.634241,1.63653,1.549554,1.25658,1.750973,1.57702,1.512932,0.830854,0.819409,0.835431,0.828565,6.791028,6.713207,6.324102,6.98558,0.817121,0.823987,0.833143,0.842298,6.520943,6.78645,6.983291,6.839094,6.074617,5.905241,5.600824,6.033417,2.732891,2.796979,2.746624,2.840467
15,6.16846,7.498283,7.22591,6.175326,1.071183,0.670634,0.666056,1.059739,0.99794,1.483177,1.483177,1.350423,1.643397,1.558709,1.510643,1.604486,1.762417,1.698329,1.707485,1.611353,1.373312,1.824216,1.654841,1.618219,0.830854,0.819409,0.833143,0.828565,6.788739,6.710918,6.321813,6.98558,0.817121,0.823987,0.833143,0.840009,6.523232,6.78645,6.98558,6.839094,6.074617,5.905241,5.600824,6.033417,2.69398,2.758068,2.707713,2.799268
16,6.374456,7.557794,7.273976,6.374456,1.114672,0.670634,0.668345,1.112383,1.080339,1.533532,1.531243,1.412222,1.71664,1.625086,1.563287,1.682307,1.83566,1.762417,1.783017,1.677729,1.478599,1.899748,1.741817,1.689174,0.830854,0.817121,0.835431,0.828565,6.791028,6.710918,6.324102,6.98558,0.814832,0.823987,0.835431,0.840009,6.525521,6.791028,6.98558,6.841382,6.076905,5.90753,5.603113,6.035706,2.657359,2.719158,2.671092,2.760357
17,6.58732,7.610437,7.322042,6.580453,1.160449,0.670634,0.666056,1.165026,1.15816,1.588464,1.579309,1.47631,1.79675,1.698329,1.618219,1.75555,1.913481,1.833371,1.858549,1.744106,1.57702,1.984436,1.81735,1.769284,0.828565,0.819409,0.835431,0.828565,6.791028,6.713207,6.32639,6.987869,0.817121,0.823987,0.830854,0.840009,6.525521,6.793317,6.990158,6.843671,6.076905,5.90753,5.605402,6.040284,2.623026,2.687114,2.636759,2.728313
18,6.779583,7.672236,7.379263,6.788739,1.199359,0.670634,0.666056,1.213092,1.231403,1.645686,1.634241,1.542687,1.881437,1.769284,1.682307,1.828794,1.998169,1.918059,1.938659,1.812772,1.680018,2.073701,1.906615,1.865415,0.830854,0.819409,0.833143,0.828565,6.791028,6.710918,6.32639,6.987869,0.817121,0.823987,0.833143,0.840009,6.52781,6.793317,6.990158,6.84596,6.079194,5.905241,5.605402,6.040284,2.590982,2.65507,2.607004,2.69398
19,6.98558,7.768368,7.459373,7.019913,1.245136,0.670634,0.666056,1.25658,1.309224,1.709773,1.698329,1.611353,1.970703,1.858549,1.757839,1.913481,2.094301,2.009613,2.027924,1.888304,1.785306,2.174411,1.989014,1.968414,0.830854,0.819409,0.835431,0.826276,6.791028,6.710918,6.32639,6.98558,0.817121,0.823987,0.833143,0.840009,6.530098,6.791028,6.987869,6.841382,6.081483,5.90753,5.605402,6.040284,2.563516,2.627604,2.577249,2.664225
20,7.159533,7.912566,7.573816,7.246509,1.288624,0.695811,0.666056,1.302358,1.400778,1.77615,1.764706,1.684596,2.062257,1.940948,1.847105,2.002747,2.204166,2.098878,2.117189,1.970703,1.913481,2.277409,2.07599,2.092012,0.833143,0.821698,0.833143,0.828565,6.791028,6.710918,6.32639,6.987869,0.819409,0.823987,0.833143,0.842298,6.532387,6.793317,6.990158,6.84596,6.083772,5.909819,5.607691,6.044862,2.538338,2.600137,2.552071,2.639048
21,7.289998,8.08423,7.708858,7.388418,1.338979,0.785077,0.668345,1.352712,1.506065,1.849393,1.840238,1.760128,2.149233,2.014191,1.934081,2.089723,2.325475,2.19501,2.206455,2.062257,2.050813,2.384985,2.165255,2.222477,0.833143,0.819409,0.833143,0.828565,6.791028,6.710918,6.328679,6.987869,0.817121,0.823987,0.833143,0.840009,6.532387,6.795605,6.997024,6.850538,6.086061,5.912108,5.609979,6.049439,2.51545,2.577249,2.529183,2.616159
22,7.429618,8.258183,7.866789,7.482261,1.387045,0.885786,0.700389,1.405356,1.59762,1.922637,1.908904,1.837949,2.23621,2.092012,2.014191,2.169833,2.444495,2.288853,2.29572,2.1561,2.169833,2.49485,2.249943,2.343786,0.833143,0.819409,0.835431,0.828565,6.788739,6.713207,6.328679,6.987869,0.817121,0.823987,0.835431,0.840009,6.534676,6.795605,6.997024,6.850538,6.08835,5.914397,5.609979,6.051728,2.492561,2.556649,2.510872,2.593271
23,7.560082,8.416114,8.049897,7.580682,1.435111,0.97734,0.801099,1.464866,1.698329,2.000458,1.982147,1.913481,2.327764,2.172122,2.09659,2.247654,2.561227,2.380407,2.380407,2.247654,2.298009,2.59556,2.341497,2.462806,0.833143,0.819409,0.835431,0.828565,6.793317,6.713207,6.330968,6.987869,0.817121,0.823987,0.835431,0.842298,6.536965,6.795605,6.994736,6.850538,6.090639,5.914397,5.609979,6.051728,2.471962,2.538338,2.490272,2.572671
24,7.699702,8.567178,8.237583,7.692836,1.490043,1.059739,0.908675,1.528954,1.812772,2.078279,2.050813,1.982147,2.421607,2.240787,2.181277,2.314031,2.657359,2.469673,2.460517,2.330053,2.410163,2.698558,2.43534,2.563516,0.833143,0.819409,0.833143,0.828565,6.791028,6.713207,6.333257,6.990158,0.817121,0.823987,0.833143,0.840009,6.541543,6.800183,6.999313,6.852827,6.095216,5.918975,5.614557,6.056306,2.45594,2.522316,2.476539,2.556649
25,7.937743,8.690776,8.418402,7.821012,1.542687,1.139849,1.002518,1.602197,1.920348,2.1561,2.119478,2.041657,2.517739,2.311742,2.27512,2.384985,2.742046,2.558938,2.536049,2.41474,2.51545,2.810712,2.517739,2.664225,0.833143,0.821698,0.835431,0.828565,6.795605,6.713207,6.335546,6.990158,0.819409,0.823987,0.835431,0.840009,6.541543,6.802472,7.001602,6.857404,6.097505,5.925841,5.614557,6.060883,2.439918,2.508583,2.460517,2.542916
