Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,4.09247,4.250401,3.334859,0.926986,0.924697,1.29778,0.913252,1.192493,1.062028,0.704967,0.787366,0.695811,1.345846,1.499199,1.464866,0.991073,0.840009,0.842298,0.844587,0.851453,6.356146,6.637675,6.852827,6.633097,0.860609,0.856031,0.860609,0.860609,6.818494,7.228199,6.884871,6.536965,9.585718,9.496452,9.322499,9.416342,6.539254,6.475166,6.623941,6.539254,6.669718,6.479744,6.452277,6.294347,6.834516,6.855116,7.015335,6.843671
2,4.699016,4.957656,3.927672,1.075761,1.025406,1.414511,1.004807,1.295491,1.146715,0.6981,0.830854,0.688945,1.49691,1.645686,1.61593,1.11696,0.840009,0.842298,0.842298,0.851453,6.365301,6.628519,6.855116,6.62623,0.860609,0.85832,0.860609,0.860609,6.820783,7.230488,6.882582,6.536965,9.592584,9.498741,9.322499,9.404898,6.541543,6.468299,6.619364,6.536965,6.672007,6.477455,6.440833,6.296635,6.834516,6.850538,6.994736,6.841382
3,5.207141,5.561913,4.401465,1.27718,1.139849,1.55642,1.110094,1.419089,1.245136,0.693523,0.888075,0.684367,1.677729,1.815061,1.801328,1.25658,0.83772,0.842298,0.842298,0.851453,6.369879,6.617075,6.848249,6.623941,0.85832,0.856031,0.860609,0.85832,6.818494,7.22591,6.878004,6.532387,9.583429,9.485008,9.311055,9.384298,6.532387,6.459144,6.607919,6.52781,6.665141,6.472877,6.433967,6.292058,6.829938,6.84596,6.978714,6.832227
4,5.614557,6.072328,4.81117,1.59762,1.268025,1.712062,1.233692,1.55642,1.359579,0.688945,0.968185,0.677501,1.874571,1.99588,2.002747,1.409934,0.83772,0.842298,0.844587,0.849165,6.374456,6.612497,6.843671,6.619364,0.85832,0.856031,0.860609,0.85832,6.816205,7.223621,6.875715,6.532387,9.583429,9.48043,9.304189,9.363699,6.52781,6.4477,6.596475,6.518654,6.655985,6.468299,6.424811,6.28748,6.820783,6.829938,6.964981,6.818494
5,5.953307,6.482033,5.197986,2.030213,1.423667,1.883726,1.380179,1.702907,1.485466,0.688945,1.073472,0.672923,2.085145,2.185855,2.208743,1.588464,0.840009,0.842298,0.842298,0.851453,6.374456,6.607919,6.841382,6.621653,0.85832,0.856031,0.860609,0.860609,6.813916,7.221332,6.871138,6.530098,9.578851,9.475853,9.292744,9.343099,6.520943,6.438544,6.585031,6.511788,6.651408,6.463722,6.413367,6.282902,6.811627,6.818494,6.94667,6.80705
6,6.221103,6.800183,5.561913,2.542916,1.59762,2.069123,1.542687,1.860838,1.61593,0.688945,1.206226,0.675212,2.29572,2.378119,2.426184,1.787594,0.840009,0.842298,0.842298,0.851453,6.376745,6.605631,6.839094,6.621653,0.85832,0.856031,0.860609,0.85832,6.813916,7.221332,6.871138,6.530098,9.576562,9.471275,9.285878,9.329366,6.509499,6.433967,6.578164,6.502632,6.64683,6.459144,6.404211,6.278325,6.80705,6.80705,6.935225,6.800183
7,6.438544,7.095445,5.898375,3.099107,1.785306,2.25452,1.723507,2.025635,1.75555,0.688945,1.348135,0.675212,2.506294,2.579538,2.639048,2.002747,0.840009,0.842298,0.842298,0.851453,6.376745,6.603342,6.832227,6.617075,0.85832,0.856031,0.860609,0.860609,6.811627,7.221332,6.868849,6.530098,9.571984,9.466697,9.2813,9.313344,6.502632,6.424811,6.571298,6.495766,6.639963,6.454566,6.399634,6.276036,6.797894,6.795605,6.919203,6.791028
8,6.651408,7.360952,6.218814,3.694209,1.986725,2.433051,1.91577,2.192721,1.902037,0.688945,1.494621,0.672923,2.716869,2.783246,2.845045,2.227054,0.840009,0.842298,0.840009,0.851453,6.374456,6.603342,6.829938,6.617075,0.860609,0.856031,0.860609,0.860609,6.811627,7.216754,6.868849,6.52781,9.571984,9.466697,9.276722,9.304189,6.495766,6.417945,6.562142,6.48661,6.635386,6.449989,6.392767,6.269169,6.78645,6.78645,6.907759,6.779583
9,6.850538,7.576104,6.555276,4.271,2.181277,2.616159,2.112612,2.366674,2.050813,0.688945,1.645686,0.672923,2.929732,2.984665,3.048753,2.451362,0.840009,0.840009,0.842298,0.851453,6.372168,6.603342,6.827649,6.619364,0.85832,0.85832,0.85832,0.860609,6.811627,7.216754,6.868849,6.525521,9.567407,9.459831,9.274434,9.292744,6.488899,6.411078,6.552987,6.477455,6.630808,6.4477,6.385901,6.26688,6.777295,6.775006,6.891737,6.768139
10,7.029068,7.754635,6.848249,4.824903,2.371252,2.796979,2.302586,2.531472,2.201877,0.688945,1.801328,0.670634,3.142596,3.188373,3.254749,2.666514,0.840009,0.842298,0.842298,0.849165,6.372168,6.605631,6.829938,6.619364,0.856031,0.856031,0.860609,0.860609,6.811627,7.219043,6.868849,6.52781,9.565118,9.457542,9.272145,9.288167,6.484321,6.404211,6.54612,6.470588,6.623941,6.443122,6.379034,6.262303,6.768139,6.763561,6.878004,6.752117
11,7.207599,7.889677,7.079423,5.232319,2.561227,2.980087,2.487984,2.698558,2.352941,0.737011,1.959258,0.670634,3.35317,3.387503,3.458457,2.872511,0.83772,0.842298,0.842298,0.851453,6.369879,6.605631,6.829938,6.621653,0.85832,0.856031,0.85832,0.860609,6.809339,7.219043,6.86656,6.523232,9.562829,9.457542,9.269856,9.285878,6.475166,6.399634,6.541543,6.463722,6.619364,6.440833,6.372168,6.260014,6.758984,6.752117,6.864271,6.740673
12,7.356374,7.978943,7.251087,5.58938,2.73518,3.15404,2.671092,2.863355,2.504005,0.849165,2.110323,0.741588,3.563745,3.579767,3.664454,3.071641,0.840009,0.842298,0.842298,0.851453,6.36759,6.605631,6.829938,6.619364,0.85832,0.853742,0.862898,0.85832,6.811627,7.214466,6.868849,6.525521,9.565118,9.452964,9.265278,9.2813,6.468299,6.392767,6.532387,6.456855,6.612497,6.433967,6.36759,6.255436,6.747539,6.742962,6.852827,6.733806
13,7.48455,8.038453,7.381552,5.951019,2.909133,3.321126,2.8542,3.032731,2.659648,1.050584,2.25452,0.890364,3.765164,3.77203,3.859007,3.268482,0.840009,0.842298,0.842298,0.849165,6.369879,6.605631,6.834516,6.619364,0.85832,0.856031,0.860609,0.860609,6.811627,7.214466,6.86656,6.523232,9.56054,9.452964,9.265278,9.276722,6.461433,6.385901,6.525521,6.4477,6.610208,6.433967,6.363012,6.255436,6.738384,6.731518,6.836805,6.722362
14,7.587549,8.093385,7.463951,6.273747,3.083085,3.479057,3.021286,3.202106,2.799268,1.265736,2.389563,1.094072,3.959716,3.950561,4.046693,3.447013,0.83772,0.842298,0.842298,0.849165,6.36759,6.605631,6.832227,6.621653,0.85832,0.85832,0.860609,0.85832,6.809339,7.216754,6.86656,6.523232,9.56054,9.452964,9.265278,9.274434,6.456855,6.379034,6.518654,6.440833,6.603342,6.424811,6.358434,6.248569,6.729229,6.720073,6.823072,6.710918
15,7.679103,8.14374,7.512016,6.601053,3.245594,3.636988,3.172351,3.350881,2.938888,1.474022,2.522316,1.302358,4.145113,4.129091,4.227512,3.616388,0.840009,0.842298,0.842298,0.851453,6.36759,6.605631,6.832227,6.621653,0.85832,0.856031,0.860609,0.85832,6.809339,7.214466,6.864271,6.523232,9.558251,9.450675,9.262989,9.274434,6.445411,6.369879,6.509499,6.433967,6.596475,6.422522,6.349279,6.243992,6.717784,6.708629,6.811627,6.701762
16,7.779812,8.189517,7.546349,6.919203,3.403525,3.794919,3.316548,3.499657,3.083085,1.684596,2.657359,1.519799,4.319066,4.300755,4.394598,3.776608,0.840009,0.842298,0.842298,0.851453,6.36759,6.607919,6.834516,6.623941,0.85832,0.856031,0.860609,0.85832,6.809339,7.214466,6.86656,6.523232,9.558251,9.448386,9.262989,9.272145,6.440833,6.365301,6.504921,6.4271,6.596475,6.420233,6.34699,6.243992,6.710918,6.701762,6.800183,6.694896
17,7.887388,8.249027,7.58526,7.214466,3.561456,3.948272,3.458457,3.646143,3.231861,1.895171,2.796979,1.739528,4.481575,4.467842,4.55024,3.93225,0.840009,0.842298,0.840009,0.851453,6.372168,6.607919,6.834516,6.623941,0.860609,0.85832,0.85832,0.860609,6.80705,7.212177,6.861982,6.525521,9.558251,9.448386,9.265278,9.269856,6.431678,6.358434,6.498054,6.417945,6.585031,6.411078,6.337835,6.237125,6.699474,6.692607,6.78645,6.683452
18,7.988098,8.326848,7.642481,7.44564,3.705653,4.106203,3.598077,3.804074,3.387503,2.112612,2.964065,1.952392,4.65095,4.625772,4.705882,4.090181,0.840009,0.842298,0.842298,0.849165,6.36759,6.607919,6.834516,6.619364,0.860609,0.853742,0.860609,0.85832,6.809339,7.212177,6.864271,6.523232,9.56054,9.446098,9.262989,9.267567,6.4271,6.353857,6.491188,6.413367,6.582742,6.411078,6.335546,6.234836,6.690318,6.683452,6.775006,6.674296
19,8.125429,8.420691,7.74548,7.640192,3.849851,4.268711,3.73312,3.980316,3.547723,2.327764,3.140307,2.165255,4.820325,4.776837,4.863813,4.248112,0.840009,0.842298,0.842298,0.851453,6.372168,6.607919,6.839094,6.623941,0.860609,0.856031,0.860609,0.85832,6.809339,7.214466,6.864271,6.525521,9.558251,9.448386,9.265278,9.269856,6.424811,6.349279,6.484321,6.404211,6.575875,6.404211,6.328679,6.230259,6.681163,6.674296,6.76585,6.669718
20,8.274205,8.512245,7.887388,7.837034,3.99176,4.43122,3.875029,4.145113,3.728542,2.51545,3.309682,2.378119,4.975967,4.925612,5.019455,4.399176,0.842298,0.842298,0.844587,0.849165,6.372168,6.610208,6.839094,6.62623,0.85832,0.856031,0.860609,0.85832,6.809339,7.216754,6.861982,6.523232,9.555962,9.448386,9.262989,9.267567,6.417945,6.342412,6.477455,6.397345,6.573587,6.401923,6.324102,6.22797,6.674296,6.665141,6.756695,6.662852
21,8.386358,8.596933,8.038453,8.020142,4.133669,4.598306,4.030671,4.289311,3.895628,2.696269,3.474479,2.570382,5.122454,5.06981,5.172808,4.554818,0.840009,0.842298,0.840009,0.853742,6.372168,6.607919,6.836805,6.62623,0.860609,0.856031,0.860609,0.860609,6.80705,7.214466,6.864271,6.525521,9.555962,9.446098,9.262989,9.265278,6.408789,6.337835,6.470588,6.390478,6.56672,6.397345,6.317235,6.221103,6.66743,6.658274,6.745251,6.655985
22,8.439002,8.690776,8.148318,8.175784,4.287022,4.751659,4.209201,4.428931,4.055848,2.870222,3.646143,2.762646,5.264363,5.202564,5.339895,4.715038,0.840009,0.842298,0.842298,0.851453,6.369879,6.610208,6.839094,6.628519,0.856031,0.856031,0.860609,0.860609,6.80705,7.212177,6.86656,6.523232,9.558251,9.446098,9.265278,9.267567,6.408789,6.330968,6.463722,6.383612,6.559854,6.392767,6.312657,6.218814,6.660563,6.649119,6.736095,6.64683
