Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,5.353399,0.417738,0.422278,0.432873,2.262746,0.441954,0.432873,0.429846,3.164817,2.179501,0.460117,0.664445,1.925226,0.416224,0.91418,1.726952,4.716198,0.4359,0.970181,3.429687,5.011339,5.777191,5.696974,5.644,0.420765,2.595725,3.403957,2.610861,0.493415,0.541848,0.475252,0.497955,10.25425,9.635211,10.721934,9.573156,0.379899,0.378386,0.378386,0.378386,0.378386,0.379899,0.376872,0.378386,0.378386,0.378386,0.378386,0.378386
2,6.034493,0.664445,0.422278,0.426819,2.780377,0.625093,0.43136,0.426819,3.841371,2.666862,0.668986,0.832448,2.376262,0.414711,1.200239,2.059931,5.395779,0.620552,1.20932,4.074456,5.763569,6.512773,6.459799,6.397744,0.419251,3.126979,4.026023,3.198115,0.496442,0.543362,0.475252,0.500983,10.345062,9.707861,10.785503,9.665482,0.378386,0.379899,0.378386,0.376872,0.378386,0.381413,0.376872,0.379899,0.378386,0.379899,0.376872,0.376872
3,6.505205,0.852124,0.419251,0.422278,3.207196,0.76888,0.611471,0.422278,4.3923,3.08914,0.830935,1.042831,2.778864,0.411684,1.510515,2.38837,5.899788,0.824881,1.484785,4.514897,6.244876,6.99862,6.975917,6.922943,0.416224,3.559852,4.554249,3.667313,0.493415,0.543362,0.478279,0.497955,10.33144,9.692725,10.747664,9.665482,0.379899,0.376872,0.378386,0.376872,0.378386,0.381413,0.376872,0.376872,0.378386,0.376872,0.379899,0.376872
4,6.865428,1.088237,0.416224,0.420765,3.608285,0.967154,0.818826,0.423792,4.876634,3.488715,1.054939,1.360675,3.181466,0.411684,1.820791,2.70016,6.249416,1.080669,1.894955,4.872093,6.620234,7.35733,7.36187,7.345221,0.413197,3.938237,4.988636,4.045699,0.494928,0.544875,0.475252,0.499469,10.334467,9.688185,10.73707,9.67759,0.378386,0.376872,0.379899,0.375359,0.378386,0.379899,0.376872,0.376872,0.379899,0.376872,0.378386,0.376872
5,7.14392,1.449974,0.620552,0.417738,4.02905,1.30316,1.077642,0.422278,5.33221,3.910994,1.377324,1.816251,3.600717,0.440441,2.131068,2.992273,6.449204,1.442406,2.48221,5.19145,6.954727,7.663065,7.675173,7.681228,0.416224,4.274244,5.307993,4.369597,0.493415,0.543362,0.476766,0.499469,10.3269,9.67759,10.718907,9.680617,0.378386,0.379899,0.376872,0.378386,0.375359,0.382926,0.375359,0.381413,0.375359,0.379899,0.375359,0.378386
6,7.367924,1.950956,0.855151,0.420765,4.48614,1.866198,1.475704,0.423792,5.762056,4.365056,1.810197,2.364153,4.038131,0.676553,2.43983,3.267738,6.608126,1.949443,3.137573,5.498699,7.283166,7.920367,7.896151,7.902205,0.413197,4.578466,5.568322,4.640521,0.496442,0.543362,0.475252,0.499469,10.298142,9.657914,10.703772,9.657914,0.379899,0.378386,0.378386,0.379899,0.375359,0.381413,0.376872,0.378386,0.378386,0.376872,0.376872,0.376872
7,7.57528,2.532156,1.197212,0.419251,4.99469,2.542751,2.053877,0.420765,6.143469,4.861498,2.333882,2.989246,4.472518,0.888449,2.762215,3.511418,6.747372,2.607834,3.794451,5.813516,7.60101,8.144372,8.056586,8.056586,0.411684,4.834254,5.787786,4.87512,0.493415,0.541848,0.476766,0.496442,10.289061,9.636724,10.687123,9.644292,0.379899,0.376872,0.378386,0.376872,0.378386,0.379899,0.376872,0.376872,0.376872,0.378386,0.378386,0.376872
8,7.782635,3.164817,1.81171,0.417738,5.507781,3.18298,2.698646,0.419251,6.479475,5.33221,2.937786,3.697584,4.885715,1.191158,3.105789,3.746017,6.880564,3.310117,4.396841,6.082927,7.9128,8.347186,8.177669,8.148912,0.411684,5.023447,5.970925,5.085502,0.496442,0.544875,0.476766,0.500983,10.272412,9.62613,10.671987,9.635211,0.379899,0.376872,0.378386,0.376872,0.378386,0.379899,0.375359,0.378386,0.378386,0.376872,0.376872,0.376872
9,7.970314,3.638556,2.557887,0.419251,5.972438,3.797478,3.337361,0.419251,6.782183,5.784759,3.458444,4.275757,5.282263,1.598301,3.450877,3.966995,7.036459,3.938237,4.894796,6.293309,8.176156,8.522757,8.262428,8.200373,0.411684,5.147558,6.114711,5.239884,0.494928,0.543362,0.475252,0.499469,10.264844,9.614021,10.667447,9.618562,0.378386,0.378386,0.378386,0.376872,0.376872,0.379899,0.376872,0.378386,0.376872,0.378386,0.376872,0.378386
10,8.145885,4.082024,3.279846,0.419251,6.384122,4.309055,3.959427,0.417738,7.028891,6.166172,3.927642,4.77674,5.693946,2.055391,3.8111,4.169809,7.186299,4.55879,5.276209,6.461312,8.350213,8.66503,8.333564,8.238211,0.411684,5.223235,6.214605,5.342805,0.496442,0.543362,0.475252,0.499469,10.251223,9.601913,10.638689,9.607967,0.378386,0.378386,0.378386,0.376872,0.375359,0.379899,0.378386,0.378386,0.376872,0.375359,0.376872,0.378386
11,8.292699,4.449815,3.835316,0.419251,6.695911,4.687441,4.570898,0.882395,7.245327,6.49007,4.324191,5.197505,6.016331,2.491291,4.14862,4.336299,7.342194,5.02042,5.574377,6.58845,8.484919,8.780059,8.42135,8.268482,0.411684,5.288317,6.278174,5.423022,0.494928,0.543362,0.475252,0.500983,10.237601,9.586777,10.626581,9.598886,0.378386,0.378386,0.378386,0.376872,0.375359,0.379899,0.376872,0.376872,0.378386,0.376872,0.376872,0.378386
