Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,3.618677,1.029984,2.904555,2.478828,2.623026,2.419318,2.581827,3.080797,2.247654,2.153811,2.233921,2.039368,1.631952,1.551843,1.625086,1.524376,0.867475,0.865187,0.796521,0.79881,0.787366,0.796521,0.79881,0.826276,7.335775,7.038224,7.324331,7.656214,7.102312,7.029068,6.932937,6.72694,0.819409,0.791943,0.812543,0.794232,7.956054,8.111696,7.942321,7.910277,9.862669,9.906157,9.748226,9.752804,9.327077,9.565118,9.576562,9.418631
2,4.248112,1.181048,3.401236,2.920577,3.101396,2.872511,3.062486,3.556878,2.641337,2.545205,2.643626,2.398718,1.872282,1.799039,1.874571,1.762417,0.892653,0.890364,0.821698,0.819409,0.787366,0.796521,0.801099,0.828565,7.340352,7.04509,7.340352,7.669947,7.104601,7.029068,6.937514,6.731518,0.819409,0.789654,0.814832,0.794232,7.930877,8.08423,7.917144,7.889677,9.823758,9.869535,9.707027,9.72076,9.279011,9.512474,9.519341,9.377432
3,4.776837,1.334401,3.804074,3.270771,3.51339,3.27306,3.485924,3.975738,3.000687,2.890822,3.007553,2.721447,2.094301,2.023346,2.09659,1.977569,0.91783,0.915541,0.851453,0.846876,0.787366,0.796521,0.801099,0.826276,7.34493,7.051957,7.347219,7.674525,7.106889,7.033646,6.939803,6.733806,0.819409,0.789654,0.814832,0.794232,7.90341,8.047608,7.882811,7.853056,9.777981,9.821469,9.665827,9.677272,9.224079,9.455253,9.464408,9.317922
4,5.218585,1.565576,4.149691,3.568322,3.863584,3.614099,3.854429,4.339666,3.302815,3.188373,3.309682,3.007553,2.281987,2.217899,2.288853,2.167544,0.945296,0.943008,0.883497,0.874342,0.787366,0.79881,0.801099,0.828565,7.347219,7.056535,7.351797,7.676814,7.109178,7.031357,6.939803,6.736095,0.819409,0.789654,0.814832,0.794232,7.862211,8.008698,7.8439,7.816434,9.729915,9.771115,9.615473,9.626917,9.159991,9.388876,9.393454,9.253834
5,5.571069,1.95697,4.460975,3.840696,4.165713,3.91165,4.15198,4.666972,3.538567,3.426413,3.5523,3.241016,2.43534,2.380407,2.446784,2.325475,0.97734,0.975051,0.91783,0.906386,0.787366,0.796521,0.801099,0.828565,7.349508,7.051957,7.349508,7.679103,7.111467,7.031357,6.942092,6.738384,0.819409,0.789654,0.814832,0.791943,7.823301,7.965209,7.802701,7.777523,9.681849,9.72076,9.567407,9.578851,9.098192,9.320211,9.327077,9.189746
6,5.861753,2.51545,4.765393,4.106203,4.444953,4.156558,4.406043,4.939345,3.730831,3.623255,3.746853,3.442435,2.561227,2.513161,2.577249,2.458228,1.009384,1.007095,0.954452,0.93843,0.787366,0.79881,0.79881,0.830854,7.349508,7.051957,7.347219,7.679103,7.109178,7.029068,6.939803,6.736095,0.819409,0.791943,0.817121,0.794232,7.777523,7.919432,7.754635,7.729458,9.624628,9.66125,9.507897,9.523919,9.029526,9.246967,9.249256,9.116503
7,6.099794,3.087663,5.076677,4.376287,4.703593,4.364843,4.628061,5.152209,3.893339,3.797208,3.916228,3.641566,2.666514,2.627604,2.684825,2.570382,1.043717,1.039139,0.991073,0.968185,0.789654,0.796521,0.79881,0.830854,7.349508,7.049668,7.34493,7.679103,7.109178,7.029068,6.937514,6.736095,0.819409,0.791943,0.814832,0.794232,7.734035,7.871366,7.70428,7.681392,9.565118,9.599451,9.446098,9.462119,8.951705,9.169146,9.173724,9.043259
8,6.321813,3.584344,5.403983,4.657816,4.959945,4.55024,4.854658,5.307851,4.053559,3.948272,4.069581,3.822385,2.755779,2.719158,2.771801,2.668803,1.075761,1.071183,1.032273,1.000229,0.789654,0.79881,0.79881,0.830854,7.351797,7.049668,7.347219,7.679103,7.109178,7.029068,6.937514,6.733806,0.819409,0.789654,0.814832,0.794232,7.681392,7.816434,7.653925,7.631037,9.50103,9.530785,9.38201,9.398032,8.880751,9.089036,9.091325,8.965438
9,6.571298,4.026093,5.703822,4.943923,5.195697,4.699016,5.078965,5.422293,4.204623,4.069581,4.204623,3.97116,2.835889,2.79469,2.840467,2.753491,1.110094,1.103227,1.068894,1.036851,0.787366,0.796521,0.801099,0.833143,7.354086,7.049668,7.349508,7.674525,7.109178,7.029068,6.937514,6.738384,0.819409,0.791943,0.814832,0.794232,7.631037,7.76379,7.598993,7.576104,9.432364,9.464408,9.315633,9.333944,8.80293,9.008927,9.011215,8.885328
10,6.802472,4.406043,5.918975,5.186542,5.383383,4.818036,5.26894,5.513848,4.335088,4.170291,4.316777,4.094759,2.902266,2.8542,2.893111,2.819867,1.142138,1.132982,1.107805,1.071183,0.787366,0.79881,0.801099,0.830854,7.351797,7.047379,7.349508,7.674525,7.111467,7.031357,6.937514,6.736095,0.819409,0.789654,0.814832,0.794232,7.576104,7.708858,7.54406,7.521172,9.368276,9.393454,9.246967,9.267567,8.72282,8.926528,8.928817,8.805219
