Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,5.303273,4.875257,5.539025,4.030671,0.975051,1.036851,1.000229,0.835431,1.167315,1.741817,1.764706,1.263447,0.846876,0.787366,0.814832,0.801099,0.79881,0.803388,0.869764,0.85832,0.894942,0.954452,0.890364,0.77821,0.881209,0.851453,0.95903,0.901808,0.826276,0.79881,0.812543,0.810254,6.124971,6.292058,6.395056,6.752117,0.810254,0.823987,0.814832,0.789654,6.962692,7.420462,6.969558,7.431907,7.44564,7.436484,7.658503,6.653696
2,5.852598,5.532158,6.124971,4.71046,1.002518,1.064317,1.023117,0.860609,1.286336,1.883726,1.911192,1.412222,0.85832,0.801099,0.828565,0.812543,0.810254,0.821698,0.888075,0.872053,0.910964,0.972763,0.906386,0.787366,0.908675,0.881209,0.979629,0.926986,0.823987,0.79881,0.810254,0.810254,6.12726,6.282902,6.392767,6.758984,0.807965,0.826276,0.814832,0.789654,6.939803,7.395285,6.967269,7.42504,7.454795,7.44564,7.672236,6.660563
3,6.303502,6.111238,6.621653,5.266651,1.027695,1.089494,1.048295,0.890364,1.430533,2.046235,2.080568,1.583886,0.869764,0.814832,0.844587,0.823987,0.830854,0.842298,0.904097,0.883497,0.926986,0.995651,0.922408,0.805676,0.93843,0.913252,1.002518,0.95903,0.823987,0.796521,0.810254,0.810254,6.12726,6.282902,6.395056,6.763561,0.810254,0.828565,0.814832,0.787366,6.916915,7.383841,6.971847,7.42504,7.452506,7.443351,7.672236,6.662852
4,6.642252,6.541543,7.008469,5.715267,1.055161,1.112383,1.075761,0.91783,1.590753,2.217899,2.252232,1.771572,0.881209,0.823987,0.856031,0.840009,0.851453,0.860609,0.922408,0.894942,0.943008,1.013962,0.93843,0.823987,0.972763,0.945296,1.025406,0.988785,0.823987,0.796521,0.810254,0.810254,6.12726,6.285191,6.397345,6.768139,0.807965,0.826276,0.812543,0.789654,6.900893,7.38613,6.976425,7.431907,7.452506,7.44564,7.672236,6.665141
5,6.88716,6.827649,7.319753,6.056306,1.084916,1.13756,1.096361,0.949874,1.750973,2.398718,2.430762,1.959258,0.890364,0.835431,0.867475,0.851453,0.872053,0.87892,0.93843,0.910964,0.95903,1.029984,0.952163,0.842298,1.004807,0.975051,1.050584,1.016251,0.823987,0.796521,0.810254,0.810254,6.124971,6.28748,6.397345,6.770428,0.807965,0.826276,0.814832,0.789654,6.884871,7.388418,6.974136,7.434195,7.454795,7.447929,7.672236,6.66743
6,7.090867,7.035935,7.539483,6.296635,1.119249,1.165026,1.123827,0.981918,1.906615,2.579538,2.609293,2.1561,0.904097,0.844587,0.87892,0.865187,0.890364,0.89723,0.954452,0.922408,0.975051,1.048295,0.970474,0.85832,1.036851,1.007095,1.07805,1.041428,0.823987,0.794232,0.810254,0.810254,6.124971,6.289769,6.401923,6.772717,0.807965,0.826276,0.814832,0.789654,6.882582,7.388418,6.971847,7.429618,7.452506,7.443351,7.669947,6.66743
7,7.246509,7.18471,7.718013,6.470588,1.146715,1.192493,1.149004,1.011673,2.069123,2.764935,2.792401,2.364385,0.910964,0.851453,0.890364,0.874342,0.908675,0.915541,0.970474,0.93843,0.991073,1.064317,0.984207,0.87892,1.068894,1.036851,1.107805,1.071183,0.823987,0.794232,0.810254,0.812543,6.124971,6.292058,6.401923,6.775006,0.807965,0.826276,0.814832,0.789654,6.884871,7.388418,6.976425,7.434195,7.454795,7.44564,7.672236,6.669718
8,7.360952,7.269398,7.866789,6.617075,1.176471,1.219959,1.178759,1.043717,2.231632,2.952621,2.977798,2.57496,0.920119,0.860609,0.904097,0.888075,0.926986,0.933852,0.986496,0.952163,1.007095,1.07805,1.000229,0.89723,1.100938,1.068894,1.139849,1.09865,0.823987,0.794232,0.810254,0.812543,6.12726,6.294347,6.4065,6.775006,0.807965,0.826276,0.814832,0.787366,6.88716,7.388418,6.976425,7.431907,7.452506,7.447929,7.672236,6.669718
9,7.431907,7.338064,7.967498,6.758984,1.203937,1.249714,1.203937,1.080339,2.391852,3.13344,3.15404,2.785534,0.929274,0.869764,0.915541,0.89723,0.943008,0.952163,1.000229,0.965896,1.023117,1.091783,1.011673,0.91783,1.132982,1.100938,1.169604,1.126116,0.823987,0.794232,0.810254,0.812543,6.12726,6.294347,6.404211,6.777295,0.807965,0.826276,0.814832,0.791943,6.889448,7.390707,6.976425,7.434195,7.452506,7.44564,7.667659,6.66743
10,7.466239,7.420462,8.054475,6.88716,1.235981,1.281758,1.235981,1.11696,2.545205,3.309682,3.327993,2.998398,0.93843,0.87892,0.924697,0.908675,0.961318,0.970474,1.01854,0.981918,1.041428,1.105516,1.029984,0.93843,1.167315,1.130694,1.208515,1.15816,0.823987,0.794232,0.812543,0.812543,6.131838,6.296635,6.404211,6.777295,0.807965,0.828565,0.814832,0.789654,6.891737,7.388418,6.978714,7.436484,7.454795,7.450217,7.66537,6.669718
11,7.491417,7.52575,8.134585,7.010758,1.27718,1.318379,1.270314,1.153582,2.700847,3.481346,3.506523,3.208972,0.947585,0.885786,0.936141,0.920119,0.97734,0.988785,1.032273,0.99794,1.059739,1.123827,1.043717,0.95903,1.201648,1.165026,1.247425,1.190204,0.823987,0.796521,0.810254,0.812543,6.131838,6.301213,6.408789,6.781872,0.807965,0.826276,0.814832,0.789654,6.889448,7.388418,6.981003,7.436484,7.454795,7.447929,7.663081,6.66743
12,7.550927,7.656214,8.212406,7.116045,1.318379,1.355001,1.309224,1.185626,2.865644,3.659876,3.698787,3.410391,0.95903,0.894942,0.947585,0.931563,0.995651,1.007095,1.048295,1.016251,1.075761,1.142138,1.062028,0.975051,1.240558,1.203937,1.286336,1.224537,0.826276,0.794232,0.812543,0.812543,6.134127,6.298924,6.408789,6.779583,0.810254,0.826276,0.814832,0.789654,6.894026,7.392996,6.98558,7.443351,7.459373,7.454795,7.66537,6.676585
13,7.631037,7.802701,8.301671,7.22591,1.364157,1.400778,1.352712,1.222248,3.05333,3.849851,3.893339,3.61181,0.970474,0.904097,0.961318,0.945296,1.016251,1.027695,1.064317,1.032273,1.09865,1.15816,1.084916,0.995651,1.284047,1.240558,1.325246,1.265736,0.826276,0.794232,0.812543,0.812543,6.136416,6.301213,6.411078,6.781872,0.807965,0.826276,0.817121,0.789654,6.896315,7.390707,6.983291,7.438773,7.454795,7.447929,7.663081,6.674296
14,7.72488,7.942321,8.395514,7.335775,1.412222,1.444266,1.396201,1.263447,3.245594,4.039826,4.083314,3.817807,0.979629,0.915541,0.97734,0.956741,1.036851,1.050584,1.082628,1.050584,1.121538,1.181048,1.110094,1.013962,1.338979,1.284047,1.361868,1.311513,0.826276,0.796521,0.810254,0.812543,6.136416,6.303502,6.413367,6.784161,0.807965,0.826276,0.814832,0.789654,6.900893,7.395285,6.987869,7.44564,7.459373,7.452506,7.66537,6.674296
15,7.809567,8.081941,8.487068,7.44564,1.458,1.485466,1.441978,1.306935,3.430991,4.225223,4.268711,4.032959,0.993362,0.929274,0.991073,0.972763,1.062028,1.073472,1.103227,1.073472,1.149004,1.203937,1.132982,1.034562,1.403067,1.329824,1.398489,1.359579,0.826276,0.794232,0.812543,0.812543,6.136416,6.305791,6.411078,6.784161,0.807965,0.826276,0.812543,0.789654,6.900893,7.399863,6.990158,7.450217,7.459373,7.457084,7.667659,6.683452
16,7.855344,8.242161,8.555734,7.566949,1.503777,1.526665,1.480888,1.352712,3.623255,4.406043,4.442664,4.236667,1.004807,0.940719,1.011673,0.988785,1.087205,1.096361,1.123827,1.09865,1.174182,1.226825,1.151293,1.05745,1.467155,1.37789,1.435111,1.409934,0.826276,0.794232,0.810254,0.812543,6.138705,6.305791,6.415656,6.78645,0.810254,0.828565,0.814832,0.791943,6.90547,7.399863,6.994736,7.457084,7.463951,7.459373,7.66537,6.68574
17,7.871366,8.400092,8.606088,7.736324,1.544976,1.563287,1.522087,1.400778,3.829252,4.573129,4.600595,4.444953,1.013962,0.947585,1.029984,1.002518,1.110094,1.119249,1.139849,1.121538,1.194781,1.254292,1.169604,1.07805,1.531243,1.432822,1.474022,1.462577,0.826276,0.791943,0.814832,0.812543,6.143282,6.310369,6.417945,6.788739,0.810254,0.826276,0.817121,0.789654,6.910048,7.40444,6.999313,7.457084,7.463951,7.461662,7.667659,6.688029
