Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,3.442435,3.037308,4.319066,3.467613,0.7187,0.714122,0.743877,0.7187,0.6981,0.746166,0.748455,0.746166,0.913252,0.865187,1.025406,0.881209,1.512932,2.211032,1.627375,2.073701,4.488441,3.302815,3.170062,3.105974,0.789654,0.746166,0.737011,0.75761,8.445869,8.647288,9.391165,8.539712,0.629435,0.592813,0.585946,0.585946,0.595102,0.611124,0.615702,0.61799,1.652552,1.691463,1.613642,1.629664,3.135729,3.05333,3.078508,3.266194
2,3.978027,3.5729,4.797436,4.014649,0.723278,0.716411,0.746166,0.720989,0.704967,0.750744,0.755322,0.750744,0.972763,0.920119,1.096361,0.931563,1.778439,2.460517,1.886015,2.323186,5.026322,3.87274,3.735409,3.625544,0.787366,0.746166,0.737011,0.75761,8.432136,8.651865,9.407187,8.555734,0.629435,0.590524,0.590524,0.585946,0.592813,0.611124,0.61799,0.61799,1.654841,1.693751,1.61593,1.631952,3.140307,3.060197,3.083085,3.270771
3,4.426642,4.01236,5.184253,4.408331,0.727855,0.720989,0.746166,0.725566,0.714122,0.759899,0.766766,0.762188,1.050584,0.995651,1.183337,0.99794,2.071412,2.700847,2.174411,2.600137,5.504692,4.387732,4.245823,4.085603,0.787366,0.746166,0.737011,0.75761,8.436713,8.656443,9.414054,8.5626,0.631724,0.590524,0.585946,0.583658,0.595102,0.613413,0.615702,0.61799,1.654841,1.69604,1.618219,1.634241,3.140307,3.055619,3.085374,3.277638
4,4.815747,4.387732,5.539025,4.756237,0.734722,0.725566,0.746166,0.727855,0.725566,0.771344,0.77821,0.773632,1.142138,1.080339,1.27718,1.07805,2.380407,2.959487,2.490272,2.915999,5.939574,4.831769,4.673838,4.502174,0.789654,0.746166,0.7393,0.75761,8.445869,8.665599,9.427787,8.576333,0.631724,0.592813,0.588235,0.583658,0.592813,0.613413,0.615702,0.615702,1.654841,1.69604,1.618219,1.634241,3.142596,3.055619,3.085374,3.277638
5,5.131609,4.685283,5.797665,5.062943,0.741588,0.727855,0.748455,0.730144,0.734722,0.785077,0.789654,0.787366,1.23827,1.169604,1.380179,1.162737,2.700847,3.231861,2.799268,3.220417,6.282902,5.177386,4.996567,4.831769,0.789654,0.746166,0.737011,0.75761,8.455024,8.670176,9.443809,8.592355,0.631724,0.590524,0.588235,0.583658,0.595102,0.613413,0.615702,0.615702,1.654841,1.698329,1.625086,1.63653,3.140307,3.055619,3.085374,3.277638
6,5.385672,4.916457,5.992218,5.291829,0.743877,0.734722,0.746166,0.734722,0.746166,0.796521,0.803388,0.79881,1.338979,1.268025,1.483177,1.252003,3.016709,3.508812,3.089952,3.515679,6.543832,5.42916,5.250629,5.088121,0.789654,0.748455,0.737011,0.75761,8.457313,8.672465,9.455253,8.606088,0.631724,0.590524,0.588235,0.585946,0.595102,0.613413,0.61799,0.615702,1.654841,1.69604,1.625086,1.634241,3.140307,3.055619,3.085374,3.277638
7,5.58938,5.108721,6.134127,5.454337,0.748455,0.7393,0.750744,0.737011,0.755322,0.807965,0.814832,0.812543,1.444266,1.371023,1.590753,1.348135,3.31426,3.774319,3.369192,3.797208,6.740673,5.62829,5.474937,5.294118,0.789654,0.748455,0.737011,0.75761,8.455024,8.670176,9.459831,8.615244,0.629435,0.592813,0.588235,0.585946,0.597391,0.613413,0.61799,0.615702,1.654841,1.69604,1.625086,1.63653,3.142596,3.055619,3.085374,3.275349
8,5.765621,5.287251,6.218814,5.577935,0.750744,0.7393,0.753033,0.7393,0.766766,0.819409,0.826276,0.821698,1.554131,1.478599,1.700618,1.448844,3.602655,4.005493,3.63241,4.046693,6.878004,5.802243,5.6878,5.474937,0.789654,0.748455,0.737011,0.759899,8.457313,8.672465,9.464408,8.62211,0.631724,0.592813,0.588235,0.583658,0.592813,0.613413,0.61799,0.61799,1.654841,1.698329,1.622797,1.634241,3.144884,3.05333,3.085374,3.275349
9,5.923552,5.456626,6.280613,5.696956,0.753033,0.741588,0.755322,0.741588,0.77821,0.830854,0.842298,0.835431,1.668574,1.595331,1.815061,1.554131,3.879606,4.222934,3.87274,4.273289,6.974136,5.960174,5.877775,5.642023,0.789654,0.746166,0.7393,0.75761,8.452735,8.670176,9.462119,8.624399,0.631724,0.590524,0.588235,0.583658,0.595102,0.613413,0.615702,0.61799,1.652552,1.69604,1.625086,1.63653,3.142596,3.05333,3.080797,3.275349
10,6.070039,5.619135,6.333257,5.802243,0.75761,0.741588,0.755322,0.743877,0.791943,0.844587,0.853742,0.846876,1.787594,1.714351,1.931792,1.661707,4.140536,4.428931,4.094759,4.481575,7.058824,6.106661,6.040284,5.783932,0.789654,0.748455,0.734722,0.75761,8.459602,8.677043,9.459831,8.626688,0.631724,0.590524,0.588235,0.583658,0.592813,0.613413,0.61799,0.61799,1.654841,1.698329,1.625086,1.634241,3.142596,3.051041,3.080797,3.268482
