1,2,3,4,9,10,11,12,13,14,15,16,17,18,19,20
0.517038532,0.51018454,0.399856408,0.405826093,0.504214855,0.501008953,0.500013994,0.048088875,0.439764656,0.534284233,0.504435949,0.419091958,0.090429229,0.084017355,0.078600441,0.041566489
0.591251794,0.590587658,0.474927236,0.474484525,0.57996245,0.579851737,0.576531334,0.064083663,0.516432211,0.617372172,0.572878932,0.489426271,0.093635157,0.088211841,0.082567169,0.041394262
0.652301928,0.655401813,0.537606584,0.530189064,0.64377726,0.644773665,0.641230948,0.081150247,0.579676279,0.685846955,0.632706281,0.546684825,0.09731385,0.092331969,0.086796444,0.041405448
0.70032723,0.706191871,0.588677669,0.574956586,0.695901095,0.699552633,0.694130598,0.110985651,0.632164565,0.739498677,0.683618518,0.593435794,0.101801391,0.096821962,0.091399927,0.043154976
0.743447907,0.746875943,0.631538143,0.612407298,0.736923541,0.742784422,0.735043634,0.161229663,0.675881807,0.78137775,0.719561987,0.631648689,0.106822911,0.101183191,0.096428186,0.046113025
0.779683003,0.778909816,0.668788839,0.64636705,0.772834947,0.773939449,0.769079568,0.224991421,0.712859299,0.81403363,0.742571015,0.661609467,0.111998667,0.105813312,0.100953431,0.050808101
0.809897486,0.804819713,0.702492532,0.678538899,0.803163999,0.799410896,0.797534345,0.286670806,0.744770074,0.837935336,0.762100638,0.685382804,0.116566943,0.11027499,0.105086869,0.056406955
0.835517635,0.825262519,0.732635499,0.710360907,0.823498159,0.820520883,0.817433304,0.33753723,0.771671135,0.855697097,0.772994423,0.70385498,0.120966467,0.114570773,0.109167527,0.06175137
0.858501057,0.84328684,0.76313655,0.738882027,0.838325668,0.834797729,0.832041546,0.380024797,0.796210956,0.867982416,0.780886458,0.717934882,0.125351958,0.118737063,0.11366568,0.06703078
0.879741238,0.865080681,0.786156404,0.759370694,0.854829359,0.848215576,0.845129209,0.415124099,0.818122975,0.879520783,0.789132648,0.728616659,0.130621865,0.123346718,0.118606905,0.072751404
0.895323914,0.885952835,0.802495096,0.776476568,0.87338459,0.863462247,0.859603535,0.448488819,0.837112946,0.891795974,0.803818047,0.736787335,0.136928028,0.128659408,0.124029009,0.078937552
0.905752522,0.900127415,0.813655189,0.789500315,0.894392049,0.881928565,0.875421105,0.477472312,0.85391329,0.905752522,0.824133309,0.748028943,0.143715976,0.134671715,0.130259809,0.084817778
0.913084824,0.908787222,0.821071093,0.79859109,0.921129163,0.913084824,0.892918931,0.504587955,0.869447217,0.921680168,0.845534658,0.758700151,0.151519628,0.141822344,0.137524741,0.090691403
0.918996341,0.917563157,0.825729675,0.804121781,0.955817941,0.94556517,0.91425582,0.538543345,0.880741556,0.936414891,0.871811762,0.771709939,0.160184916,0.149711731,0.146294187,0.096353518
0.924731735,0.925613535,0.828731585,0.806687912,0.991413868,0.975542377,0.945011947,0.580740373,0.890013017,0.953388523,0.895303467,0.786958886,0.168854465,0.157942879,0.156179349,0.102613266
0.93170798,0.93170798,0.83076836,0.807627194,1.018432326,0.997164424,0.972921317,0.620624392,0.908346426,0.971819377,0.908236197,0.801566347,0.176423965,0.167057298,0.166175676,0.109865512
0.940430674,0.938446448,0.835154446,0.810681901,1.032698916,1.007895631,0.987942748,0.65756286,0.936462152,0.993675097,0.913532893,0.81652445,0.183103396,0.176378968,0.174725411,0.117843205
0.95243525,0.944944434,0.842276153,0.815948175,1.041443784,1.012692282,0.995837947,0.692349714,0.957612734,1.019962784,0.917625009,0.84106446,0.189804042,0.183965616,0.182423418,0.125471165
0.966705196,0.951497117,0.852534331,0.824212034,1.048696611,1.017509007,1.002300928,0.731530905,0.987533654,1.041312939,0.918766623,0.870717884,0.196603086,0.190982707,0.189439817,0.132464586
0.977872194,0.960030678,0.863443863,0.83458896,1.05529585,1.021044419,1.008158837,0.771042169,1.022476158,1.053533683,0.919391504,0.886351549,0.203415926,0.198019398,0.1962573,0.140529922
0.986527775,0.972104236,0.872900944,0.843943728,1.05996683,1.023302371,1.012732418,0.811903532,1.040698755,1.063269944,0.920685898,0.891728613,0.210628094,0.205233016,0.203361256,0.150401427
0.996896819,0.985558476,0.881861817,0.853350754,1.064486769,1.025407883,1.016931602,0.843993838,1.05094677,1.068890011,0.921050747,0.891879208,0.217961072,0.212236878,0.210365495,0.159397834
1.005829719,0.995479621,0.889776685,0.864562143,1.067930232,1.026970334,1.019923462,0.870177612,1.056919504,1.073325422,0.921047117,0.889776685,0.225059196,0.219774077,0.217571903,0.169785344
1.013815299,1.004678849,0.904067863,0.880291044,1.070835509,1.029116052,1.0231719,0.894491111,1.061258757,1.078210679,0.921350047,0.888987191,0.232594114,0.227200305,0.224888682,0.180527341
1.021385018,1.011594691,0.922601663,0.891690587,1.072756831,1.029635321,1.024795176,0.903130975,1.063956485,1.080567058,0.920951602,0.886960409,0.239918243,0.234418018,0.232107947,0.189536481
