Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,3.268482,0.704967,3.035019,0.691234,0.691234,0.714122,0.695811,0.714122,1.359579,1.075761,1.334401,0.83772,1.430533,1.084916,1.128405,0.737011,1.375601,1.375601,0.766766,1.126116,1.391623,1.391623,1.407645,1.526665,0.833143,0.83772,0.828565,0.814832,7.095445,6.708629,5.445182,7.672236,0.823987,0.814832,0.830854,0.771344,7.132067,7.223621,6.752117,6.962692,5.978485,5.818265,5.486381,5.967041,3.337148,3.419547,3.362325,3.49279
2,3.875029,0.6981,3.627832,0.684367,0.720989,0.709545,0.691234,0.750744,1.533532,1.226825,1.492332,0.922408,1.634241,1.235981,1.279469,0.794232,1.581598,1.588464,0.840009,1.329824,1.647974,1.629664,1.634241,1.753262,0.833143,0.83772,0.828565,0.812543,7.084001,6.697185,5.433738,7.66537,0.823987,0.814832,0.835431,0.771344,7.120623,7.216754,6.742962,6.960403,5.980774,5.820554,5.474937,5.969329,3.29366,3.376059,3.316548,3.447013
3,4.341955,0.6981,4.099336,0.679789,0.762188,0.707256,0.686656,0.796521,1.732662,1.393912,1.686885,1.027695,1.867704,1.409934,1.462577,0.885786,1.81735,1.828794,0.952163,1.551843,1.93637,1.895171,1.899748,2.01648,0.830854,0.835431,0.826276,0.810254,7.063401,6.683452,5.415427,7.658503,0.823987,0.810254,0.833143,0.771344,7.118334,7.212177,6.740673,6.958114,5.98764,5.822843,5.470359,5.969329,3.243305,3.323415,3.266194,3.392081
4,4.73106,0.695811,4.499886,0.675212,0.826276,0.704967,0.684367,0.876631,1.954681,1.581598,1.897459,1.178759,2.126345,1.59762,1.659419,1.016251,2.073701,2.101167,1.110094,1.801328,2.249943,2.185855,2.188144,2.304875,0.830854,0.835431,0.826276,0.810254,7.049668,6.676585,5.401694,7.651637,0.823987,0.812543,0.830854,0.771344,7.113756,7.212177,6.736095,6.955825,5.98764,5.820554,5.463493,5.967041,3.190661,3.266194,3.211261,3.337148
5,5.094987,0.693523,4.868391,0.672923,0.936141,0.700389,0.677501,0.988785,2.201877,1.792172,2.119478,1.389334,2.398718,1.803616,1.874571,1.192493,2.359808,2.389563,1.329824,2.087434,2.59556,2.501717,2.501717,2.609293,0.833143,0.835431,0.826276,0.810254,7.042802,6.669718,5.392538,7.649348,0.823987,0.814832,0.833143,0.771344,7.113756,7.207599,6.733806,6.953536,5.989929,5.820554,5.46807,5.971618,3.140307,3.211261,3.156329,3.277638
6,5.447471,0.691234,5.218585,0.672923,1.089494,0.6981,0.677501,1.135271,2.451362,2.037079,2.350652,1.659419,2.675669,2.027924,2.098878,1.407645,2.673381,2.696269,1.606775,2.401007,2.961776,2.838178,2.838178,2.911421,0.833143,0.835431,0.826276,0.810254,7.040513,6.66743,5.387961,7.649348,0.823987,0.814832,0.833143,0.771344,7.109178,7.207599,6.731518,6.953536,5.989929,5.820554,5.463493,5.967041,3.087663,3.15404,3.103685,3.224994
7,5.786221,0.691234,5.555047,0.670634,1.274891,0.695811,0.677501,1.313802,2.707713,2.293431,2.579538,1.934081,2.957198,2.25452,2.325475,1.650263,2.99382,3.009842,1.91577,2.739757,3.341726,3.186084,3.179217,3.197528,0.830854,0.835431,0.823987,0.810254,7.038224,6.665141,5.387961,7.647059,0.823987,0.812543,0.833143,0.771344,7.106889,7.203021,6.729229,6.951247,5.989929,5.825132,5.461204,5.967041,3.032731,3.101396,3.044175,3.163195
8,6.120394,0.968185,5.900664,0.672923,1.483177,0.695811,0.675212,1.524376,2.964065,2.565805,2.806134,2.220188,3.231861,2.487984,2.558938,1.913481,3.300526,3.330282,2.252232,3.078508,3.717098,3.547723,3.517967,3.485924,0.830854,0.835431,0.826276,0.812543,7.035935,6.662852,5.385672,7.642481,0.823987,0.812543,0.830854,0.769055,7.106889,7.20531,6.72694,6.951247,5.98764,5.82742,5.463493,5.964752,2.980087,3.048753,2.991531,3.108263
9,6.454566,1.325246,6.211948,0.670634,1.707485,0.695811,0.675212,1.75555,3.208972,2.822156,3.030442,2.499428,3.481346,2.710002,2.785534,2.21561,3.595789,3.643854,2.597848,3.398947,4.074159,3.886473,3.840696,3.765164,0.830854,0.83772,0.826276,0.810254,7.031357,6.660563,5.385672,7.637903,0.823987,0.812543,0.833143,0.769055,7.106889,7.20531,6.724651,6.951247,5.989929,5.829709,5.463493,5.964752,2.929732,2.996109,2.938888,3.05333
10,6.742962,2.078279,6.472877,0.670634,1.920348,0.695811,0.672923,1.963836,3.437858,3.069352,3.259327,2.764935,3.717098,2.915999,3.002976,2.49485,3.881895,3.943694,2.922866,3.714809,4.399176,4.202335,4.140536,4.016938,0.830854,0.835431,0.826276,0.810254,7.029068,6.653696,5.383383,7.633326,0.823987,0.812543,0.833143,0.771344,7.109178,7.207599,6.72694,6.951247,5.989929,5.82742,5.463493,5.964752,2.879377,2.941176,2.886244,2.998398
